keyword,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Cathegory
George Soros,9.666666666666666,2.9166666666666665,4.0,0.4166666666666667,3.583333333333333,3.75,2.583333333333333,2.9166666666666665,4.25,3.1666666666666665,2.0,2.6666666666666665,9.083333333333334,7.0,9.0,4.833333333333333,20.83333333333333,8.583333333333334,Conspiracy Theories
Soros,9.5,7.5,4.166666666666667,3.9166666666666665,6.0,5.083333333333333,4.0,5.166666666666667,3.75,4.416666666666667,3.083333333333333,3.75,13.75,13.666666666666666,15.5,9.166666666666666,27.25,11.583333333333334,Conspiracy Theories
Vrijmetselarij,66.16666666666667,59.16666666666666,45.833333333333336,33.833333333333336,29.58333333333333,38.16666666666666,39.5,41.75,39.41666666666666,38.833333333333336,31.666666666666668,32.5,28.5,28.666666666666668,28.75,23.166666666666668,25.916666666666668,20.416666666666668,Conspiracy Theories
Area 51,3.0,7.666666666666667,4.333333333333333,3.1666666666666665,2.833333333333333,2.75,2.6666666666666665,3.4166666666666665,2.75,2.4166666666666665,2.083333333333333,2.333333333333333,2.083333333333333,2.25,1.5833333333333333,14.833333333333334,1.25,1.4166666666666667,Conspiracy Theories
Roswell UFO,9.833333333333334,27.5,9.583333333333334,5.916666666666667,8.083333333333334,4.916666666666667,1.3333333333333333,4.0,6.083333333333333,6.916666666666667,6.833333333333333,2.25,1.0,4.0,0.3333333333333333,1.0,2.5,2.0,Conspiracy Theories
UFO,36.41666666666666,27.08333333333333,24.08333333333333,27.166666666666668,35.333333333333336,27.166666666666668,25.5,25.25,26.25,19.416666666666668,19.416666666666668,18.166666666666668,15.083333333333334,16.0,15.25,16.5,18.5,18.416666666666668,Conspiracy Theories
men in black,6.333333333333333,5.833333333333333,4.833333333333333,6.083333333333333,5.583333333333333,5.25,6.75,7.083333333333333,37.5,11.5,8.916666666666666,11.916666666666666,9.25,7.833333333333333,6.666666666666667,18.25,13.0,10.333333333333334,Conspiracy Theories
Illuminati,24.0,26.666666666666668,14.916666666666666,10.5,11.583333333333334,21.5,36.41666666666666,66.08333333333333,76.41666666666667,66.25,80.25,67.91666666666667,46.5,28.166666666666668,16.083333333333332,8.25,10.916666666666666,7.416666666666667,Conspiracy Theories
911,41.41666666666666,30.58333333333333,44.0,34.083333333333336,29.166666666666668,31.5,29.58333333333333,28.08333333333333,24.666666666666668,26.166666666666668,26.25,26.0,27.08333333333333,27.25,26.25,26.166666666666668,28.666666666666668,33.083333333333336,Conspiracy Theories
Sandy Hook,2.9166666666666665,2.9166666666666665,1.5833333333333333,1.3333333333333333,1.5,0.25,0.75,1.4166666666666667,9.583333333333334,11.083333333333334,4.916666666666667,6.166666666666667,7.333333333333333,6.5,5.916666666666667,5.0,3.6666666666666665,2.9166666666666665,Conspiracy Theories
Clinton body count,15.416666666666666,6.5,9.833333333333334,0.0,5.25,5.5,3.8333333333333335,0.0,4.5,3.583333333333333,0.5833333333333334,0.0,1.0,1.5,3.0,3.6666666666666665,2.083333333333333,1.25,Conspiracy Theories
jeffrey epstein,2.25,2.583333333333333,0.25,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.0833333333333333,0.3333333333333333,0.0,0.25,0.0833333333333333,0.9166666666666666,0.5,0.0833333333333333,0.4166666666666667,16.416666666666668,23.416666666666668,8.583333333333334,Conspiracy Theories
Epstein,1.3333333333333333,1.75,1.1666666666666667,1.5,1.5833333333333333,1.8333333333333333,1.25,1.6666666666666667,1.8333333333333333,1.4166666666666667,1.4166666666666667,1.9166666666666667,2.0,1.75,1.75,17.666666666666668,18.0,7.75,Conspiracy Theories
FEMA,20.08333333333333,24.416666666666668,19.0,15.416666666666666,18.58333333333333,26.75,20.0,19.83333333333333,19.58333333333333,23.416666666666668,17.083333333333332,18.75,15.416666666666666,15.416666666666666,9.25,7.25,21.5,14.166666666666666,Conspiracy Theories
Fema kampen,0.0,20.58333333333333,16.0,5.0,1.4166666666666667,7.0,0.9166666666666666,6.916666666666667,4.083333333333333,4.0,4.75,4.916666666666667,0.0,2.5,2.0,1.5,13.083333333333334,11.5,Conspiracy Theories
